date,year,month,series_id,indicator,value,latest,month_to_month_change
2020-10-01,2020,10,CES0000000001,Total Nonfarm Employment,142460.0,False,690.0
2020-11-01,2020,11,CES0000000001,Total Nonfarm Employment,142733.0,False,273.0
2020-12-01,2020,12,CES0000000001,Total Nonfarm Employment,142548.0,False,-185.0
2021-01-01,2021,1,CES0000000001,Total Nonfarm Employment,142863.0,False,315.0
2021-02-01,2021,2,CES0000000001,Total Nonfarm Employment,143380.0,False,517.0
2021-03-01,2021,3,CES0000000001,Total Nonfarm Employment,144232.0,False,852.0
2021-04-01,2021,4,CES0000000001,Total Nonfarm Employment,144587.0,False,355.0
2021-05-01,2021,5,CES0000000001,Total Nonfarm Employment,145065.0,False,478.0
2021-06-01,2021,6,CES0000000001,Total Nonfarm Employment,145820.0,False,755.0
2021-07-01,2021,7,CES0000000001,Total Nonfarm Employment,146762.0,False,942.0
2021-08-01,2021,8,CES0000000001,Total Nonfarm Employment,147314.0,False,552.0
2021-09-01,2021,9,CES0000000001,Total Nonfarm Employment,147771.0,False,457.0
2021-10-01,2021,10,CES0000000001,Total Nonfarm Employment,148572.0,False,801.0
2021-11-01,2021,11,CES0000000001,Total Nonfarm Employment,149230.0,False,658.0
2021-12-01,2021,12,CES0000000001,Total Nonfarm Employment,149816.0,False,586.0
2022-01-01,2022,1,CES0000000001,Total Nonfarm Employment,150006.0,False,190.0
2022-02-01,2022,2,CES0000000001,Total Nonfarm Employment,150825.0,False,819.0
2022-03-01,2022,3,CES0000000001,Total Nonfarm Employment,151315.0,False,490.0
2022-04-01,2022,4,CES0000000001,Total Nonfarm Employment,151623.0,False,308.0
2022-05-01,2022,5,CES0000000001,Total Nonfarm Employment,151924.0,False,301.0
2022-06-01,2022,6,CES0000000001,Total Nonfarm Employment,152358.0,False,434.0
2022-07-01,2022,7,CES0000000001,Total Nonfarm Employment,153072.0,False,714.0
2022-08-01,2022,8,CES0000000001,Total Nonfarm Employment,153362.0,False,290.0
2022-09-01,2022,9,CES0000000001,Total Nonfarm Employment,153582.0,False,220.0
2022-10-01,2022,10,CES0000000001,Total Nonfarm Employment,153939.0,False,357.0
2022-11-01,2022,11,CES0000000001,Total Nonfarm Employment,154242.0,False,303.0
2022-12-01,2022,12,CES0000000001,Total Nonfarm Employment,154342.0,False,100.0
2023-01-01,2023,1,CES0000000001,Total Nonfarm Employment,154776.0,False,434.0
2023-02-01,2023,2,CES0000000001,Total Nonfarm Employment,155066.0,False,290.0
2023-03-01,2023,3,CES0000000001,Total Nonfarm Employment,155134.0,False,68.0
2023-04-01,2023,4,CES0000000001,Total Nonfarm Employment,155375.0,False,241.0
2023-05-01,2023,5,CES0000000001,Total Nonfarm Employment,155655.0,False,280.0
2023-06-01,2023,6,CES0000000001,Total Nonfarm Employment,155880.0,False,225.0
2023-07-01,2023,7,CES0000000001,Total Nonfarm Employment,156043.0,False,163.0
2023-08-01,2023,8,CES0000000001,Total Nonfarm Employment,156261.0,False,218.0
2023-09-01,2023,9,CES0000000001,Total Nonfarm Employment,156417.0,False,156.0
2023-10-01,2023,10,CES0000000001,Total Nonfarm Employment,156576.0,False,159.0
2023-11-01,2023,11,CES0000000001,Total Nonfarm Employment,156703.0,False,127.0
2023-12-01,2023,12,CES0000000001,Total Nonfarm Employment,156857.0,False,154.0
2024-01-01,2024,1,CES0000000001,Total Nonfarm Employment,157032.0,False,175.0
2024-02-01,2024,2,CES0000000001,Total Nonfarm Employment,157238.0,False,206.0
2024-03-01,2024,3,CES0000000001,Total Nonfarm Employment,157466.0,False,228.0
2024-04-01,2024,4,CES0000000001,Total Nonfarm Employment,157530.0,False,64.0
2024-05-01,2024,5,CES0000000001,Total Nonfarm Employment,157608.0,False,78.0
2024-06-01,2024,6,CES0000000001,Total Nonfarm Employment,157695.0,False,87.0
2024-07-01,2024,7,CES0000000001,Total Nonfarm Employment,157748.0,False,53.0
2024-08-01,2024,8,CES0000000001,Total Nonfarm Employment,157757.0,False,9.0
2024-09-01,2024,9,CES0000000001,Total Nonfarm Employment,157912.0,False,155.0
2024-10-01,2024,10,CES0000000001,Total Nonfarm Employment,157945.0,False,33.0
2024-11-01,2024,11,CES0000000001,Total Nonfarm Employment,158079.0,False,134.0
2024-12-01,2024,12,CES0000000001,Total Nonfarm Employment,158316.0,False,237.0
2025-01-01,2025,1,CES0000000001,Total Nonfarm Employment,158268.0,False,-48.0
2025-02-01,2025,2,CES0000000001,Total Nonfarm Employment,158310.0,False,42.0
2025-03-01,2025,3,CES0000000001,Total Nonfarm Employment,158377.0,False,67.0
2025-04-01,2025,4,CES0000000001,Total Nonfarm Employment,158485.0,False,108.0
2025-05-01,2025,5,CES0000000001,Total Nonfarm Employment,158498.0,False,13.0
2025-06-01,2025,6,CES0000000001,Total Nonfarm Employment,158478.0,False,-20.0
2025-07-01,2025,7,CES0000000001,Total Nonfarm Employment,158542.0,False,64.0
2025-08-01,2025,8,CES0000000001,Total Nonfarm Employment,158472.0,False,-70.0
2025-09-01,2025,9,CES0000000001,Total Nonfarm Employment,158548.0,False,76.0
2025-10-01,2025,10,CES0000000001,Total Nonfarm Employment,158408.0,False,-140.0
2025-11-01,2025,11,CES0000000001,Total Nonfarm Employment,158449.0,False,41.0
2025-12-01,2025,12,CES0000000001,Total Nonfarm Employment,158432.0,False,-17.0
2026-01-01,2026,1,CES0000000001,Total Nonfarm Employment,158592.0,False,160.0
2026-02-01,2026,2,CES0000000001,Total Nonfarm Employment,158436.0,False,-156.0
2026-03-01,2026,3,CES0000000001,Total Nonfarm Employment,158650.0,False,214.0
2026-04-01,2026,4,CES0000000001,Total Nonfarm Employment,158798.0,False,148.0
2026-05-01,2026,5,CES0000000001,Total Nonfarm Employment,158927.0,False,129.0
2026-06-01,2026,6,CES0000000001,Total Nonfarm Employment,158984.0,true,57.0
2020-01-01,2020,1,LNS14000000,Unemployment Rate,3.6,False,
2020-02-01,2020,2,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2020-03-01,2020,3,LNS14000000,Unemployment Rate,4.4,False,0.9000000000000004
2020-04-01,2020,4,LNS14000000,Unemployment Rate,14.8,False,10.4
2020-05-01,2020,5,LNS14000000,Unemployment Rate,13.2,False,-1.6000000000000014
2020-06-01,2020,6,LNS14000000,Unemployment Rate,11.0,False,-2.1999999999999993
2020-07-01,2020,7,LNS14000000,Unemployment Rate,10.2,False,-0.8000000000000007
2020-08-01,2020,8,LNS14000000,Unemployment Rate,8.4,False,-1.799999999999999
2020-09-01,2020,9,LNS14000000,Unemployment Rate,7.8,False,-0.6000000000000005
2020-10-01,2020,10,LNS14000000,Unemployment Rate,6.9,False,-0.8999999999999995
2020-11-01,2020,11,LNS14000000,Unemployment Rate,6.7,False,-0.20000000000000018
2020-12-01,2020,12,LNS14000000,Unemployment Rate,6.7,False,0.0
2021-01-01,2021,1,LNS14000000,Unemployment Rate,6.4,False,-0.2999999999999998
2021-02-01,2021,2,LNS14000000,Unemployment Rate,6.2,False,-0.20000000000000018
2021-03-01,2021,3,LNS14000000,Unemployment Rate,6.1,False,-0.10000000000000053
2021-04-01,2021,4,LNS14000000,Unemployment Rate,6.1,False,0.0
2021-05-01,2021,5,LNS14000000,Unemployment Rate,5.8,False,-0.2999999999999998
2021-06-01,2021,6,LNS14000000,Unemployment Rate,5.9,False,0.10000000000000053
2021-07-01,2021,7,LNS14000000,Unemployment Rate,5.4,False,-0.5
2021-08-01,2021,8,LNS14000000,Unemployment Rate,5.1,False,-0.3000000000000007
2021-09-01,2021,9,LNS14000000,Unemployment Rate,4.7,False,-0.39999999999999947
2021-10-01,2021,10,LNS14000000,Unemployment Rate,4.5,False,-0.20000000000000018
2021-11-01,2021,11,LNS14000000,Unemployment Rate,4.1,False,-0.40000000000000036
2021-12-01,2021,12,LNS14000000,Unemployment Rate,3.9,False,-0.19999999999999973
2022-01-01,2022,1,LNS14000000,Unemployment Rate,4.0,False,0.10000000000000009
2022-02-01,2022,2,LNS14000000,Unemployment Rate,3.9,False,-0.10000000000000009
2022-03-01,2022,3,LNS14000000,Unemployment Rate,3.7,False,-0.19999999999999973
2022-04-01,2022,4,LNS14000000,Unemployment Rate,3.7,False,0.0
2022-05-01,2022,5,LNS14000000,Unemployment Rate,3.6,False,-0.10000000000000009
2022-06-01,2022,6,LNS14000000,Unemployment Rate,3.6,False,0.0
2022-07-01,2022,7,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2022-08-01,2022,8,LNS14000000,Unemployment Rate,3.6,False,0.10000000000000009
2022-09-01,2022,9,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2022-10-01,2022,10,LNS14000000,Unemployment Rate,3.6,False,0.10000000000000009
2022-11-01,2022,11,LNS14000000,Unemployment Rate,3.6,False,0.0
2022-12-01,2022,12,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2023-01-01,2023,1,LNS14000000,Unemployment Rate,3.5,False,0.0
2023-02-01,2023,2,LNS14000000,Unemployment Rate,3.6,False,0.10000000000000009
2023-03-01,2023,3,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2023-04-01,2023,4,LNS14000000,Unemployment Rate,3.4,False,-0.10000000000000009
2023-05-01,2023,5,LNS14000000,Unemployment Rate,3.6,False,0.20000000000000018
2023-06-01,2023,6,LNS14000000,Unemployment Rate,3.6,False,0.0
2023-07-01,2023,7,LNS14000000,Unemployment Rate,3.5,False,-0.10000000000000009
2023-08-01,2023,8,LNS14000000,Unemployment Rate,3.7,False,0.20000000000000018
2023-09-01,2023,9,LNS14000000,Unemployment Rate,3.7,False,0.0
2023-10-01,2023,10,LNS14000000,Unemployment Rate,3.9,False,0.19999999999999973
2023-11-01,2023,11,LNS14000000,Unemployment Rate,3.7,False,-0.19999999999999973
2023-12-01,2023,12,LNS14000000,Unemployment Rate,3.8,False,0.09999999999999964
2024-01-01,2024,1,LNS14000000,Unemployment Rate,3.7,False,-0.09999999999999964
2024-02-01,2024,2,LNS14000000,Unemployment Rate,3.9,False,0.19999999999999973
2024-03-01,2024,3,LNS14000000,Unemployment Rate,3.9,False,0.0
2024-04-01,2024,4,LNS14000000,Unemployment Rate,3.9,False,0.0
2024-05-01,2024,5,LNS14000000,Unemployment Rate,3.9,False,0.0
2024-06-01,2024,6,LNS14000000,Unemployment Rate,4.1,False,0.19999999999999973
2024-07-01,2024,7,LNS14000000,Unemployment Rate,4.2,False,0.10000000000000053
2024-08-01,2024,8,LNS14000000,Unemployment Rate,4.2,False,0.0
2024-09-01,2024,9,LNS14000000,Unemployment Rate,4.1,False,-0.10000000000000053
2024-10-01,2024,10,LNS14000000,Unemployment Rate,4.1,False,0.0
2024-11-01,2024,11,LNS14000000,Unemployment Rate,4.2,False,0.10000000000000053
2024-12-01,2024,12,LNS14000000,Unemployment Rate,4.1,False,-0.10000000000000053
2025-01-01,2025,1,LNS14000000,Unemployment Rate,4.0,False,-0.09999999999999964
2025-02-01,2025,2,LNS14000000,Unemployment Rate,4.2,False,0.20000000000000018
2025-03-01,2025,3,LNS14000000,Unemployment Rate,4.2,False,0.0
2025-04-01,2025,4,LNS14000000,Unemployment Rate,4.2,False,0.0
2025-05-01,2025,5,LNS14000000,Unemployment Rate,4.3,False,0.09999999999999964
2025-06-01,2025,6,LNS14000000,Unemployment Rate,4.1,False,-0.20000000000000018
2025-07-01,2025,7,LNS14000000,Unemployment Rate,4.3,False,0.20000000000000018
2025-08-01,2025,8,LNS14000000,Unemployment Rate,4.3,False,0.0
2025-09-01,2025,9,LNS14000000,Unemployment Rate,4.4,False,0.10000000000000053
2025-11-01,2025,11,LNS14000000,Unemployment Rate,4.5,False,0.09999999999999964
2025-12-01,2025,12,LNS14000000,Unemployment Rate,4.4,False,-0.09999999999999964
2026-01-01,2026,1,LNS14000000,Unemployment Rate,4.3,False,-0.10000000000000053
2026-02-01,2026,2,LNS14000000,Unemployment Rate,4.4,False,0.10000000000000053
2026-03-01,2026,3,LNS14000000,Unemployment Rate,4.3,False,-0.10000000000000053
2026-04-01,2026,4,LNS14000000,Unemployment Rate,4.3,False,0.0
2026-05-01,2026,5,LNS14000000,Unemployment Rate,4.3,False,0.0
2026-06-01,2026,6,LNS14000000,Unemployment Rate,4.2,true,-0.09999999999999964
